Jahr,Anzahl_Sitze,Partei
1893,0,BDP
1893,0,LP
1893,0,Andere
1894,6,FDP
1894,1,CVP
1894,0,SP
1894,0,SVP
1894,0,BDP
1894,0,LP
1894,0,Andere
1895,6,FDP
1895,1,CVP
1895,0,SP
1895,0,SVP
1895,0,BDP
1895,0,LP
1895,0,Andere
1896,6,FDP
1896,1,CVP
1896,0,SP
1896,0,SVP
1896,0,BDP
1896,0,LP
1896,0,Andere
1897,6,FDP
1897,1,CVP
1897,0,SP
1897,0,SVP
1897,0,BDP
1897,0,LP
1897,0,Andere
1898,6,FDP
1898,1,CVP
1898,0,SP
1898,0,SVP
1898,0,BDP
1898,0,LP
1898,0,Andere
1899,6,FDP
1899,1,CVP
1899,0,SP
1899,0,SVP
1899,0,BDP
1899,0,LP
1899,0,Andere
1900,6,FDP
1900,1,CVP
1900,0,SP
1900,0,SVP
1900,0,BDP
1900,0,LP
1900,0,Andere
1901,6,FDP
1901,1,CVP
1901,0,SP
1901,0,SVP
1901,0,BDP
1901,0,LP
1901,0,Andere
1902,6,FDP
1902,1,CVP
1902,0,SP
1902,0,SVP
1902,0,BDP
1902,0,LP
1902,0,Andere
1903,6,FDP
1903,1,CVP
1903,0,SP
1903,0,SVP
1903,0,BDP
1903,0,LP
1903,0,Andere
1904,6,FDP
1904,1,CVP
1904,0,SP
1904,0,SVP
1904,0,BDP
1904,0,LP
1904,0,Andere
1905,6,FDP
1905,1,CVP
1905,0,SP
1905,0,SVP
1905,0,BDP
1905,0,LP
1905,0,Andere
1906,6,FDP
1906,1,CVP
1906,0,SP
1906,0,SVP
1906,0,BDP
1906,0,LP
1906,0,Andere
1907,6,FDP
1907,1,CVP
1907,0,SP
1907,0,SVP
1907,0,BDP
1907,0,LP
1907,0,Andere
1908,6,FDP
1908,1,CVP
1908,0,SP
1908,0,SVP
1908,0,BDP
1908,0,LP
1908,0,Andere
1909,6,FDP
1909,1,CVP
1909,0,SP
1909,0,SVP
1909,0,BDP
1909,0,LP
1909,0,Andere
1910,6,FDP
1910,1,CVP
1910,0,SP
1910,0,SVP
1910,0,BDP
1910,0,LP
1910,0,Andere
1911,6,FDP
1911,1,CVP
1911,0,SP
1911,0,SVP
1911,0,BDP
1911,0,LP
1911,0,Andere
1912,6,FDP
1912,1,CVP
1912,0,SP
1912,0,SVP
1912,0,BDP
1912,0,LP
1912,0,Andere
1913,6,FDP
1913,1,CVP
1913,0,SP
1913,0,SVP
1913,0,BDP
1913,0,LP
1913,0,Andere
1914,6,FDP
1914,1,CVP
1914,0,SP
1914,0,SVP
1914,0,BDP
